dates,open,high,low,close,adjusted close,volume,dividend amount,tickers,id
2019-04-16,73,73.174,71.58,71.9,71.665,4399497,0,MCD,34
2019-04-15,74.44,74.582,73.76,74.32,74.0771,1690423,0,MCD,35
2019-04-12,74.41,74.5,73.5542,74.29,74.0472,2499775,0,MCD,36
2019-04-11,74.67,74.78,74.07,74.19,73.9475,2018576,0,MCD,37
2019-04-10,74.45,74.765,74.31,74.6,74.3562,1554248,0,MCD,38
2019-04-09,73.92,74.52,73.72,74.37,74.127,2036042,0,MCD,39
2019-04-08,74.26,74.45,73.56,74.41,74.1668,2428986,0,MCD,40
2019-04-05,73.85,74.42,73.13,74.2,73.9575,2572828,0,MCD,41
2019-04-04,74.3,74.4,73.315,73.79,73.5489,2221753,0,MCD,42
2019-04-03,73.9,74.845,73.82,74.18,73.9376,3485077,0,MCD,43
2019-04-02,73.86,74.18,73.41,73.57,73.3296,3069299,0,MCD,44
2019-04-01,73,73.98,72.65,73.85,73.6087,3561871,0,MCD,45
2019-03-29,72.02,72.85,71.97,72.45,72.2132,4475282,0,MCD,46
2019-03-28,71.89,71.89,71.035,71.58,71.3461,2495830,0,MCD,47
2019-03-27,71.13,71.47,70.32,71.03,70.7979,2040349,0,MCD,48
2019-03-26,71.23,71.7275,70.67,71.09,70.8577,2295453,0,MCD,49
2019-03-25,70.74,70.885,70.005,70.75,70.5188,1983705,0,MCD,50
2019-03-22,71.96,72.06,70.64,70.89,70.6583,2711811,0,MCD,51
2019-03-21,71.49,72.64,71.41,72.2,71.9641,4141701,0,MCD,52
2019-03-20,72.17,72.43,71.32,71.71,71.4757,2161278,0,MCD,53
2019-03-19,72.31,72.44,71.8,72.02,71.7846,2537279,0,MCD,54
2019-03-18,72.1,72.32,71.22,71.88,71.6451,2376890,0,MCD,55
2019-03-15,71.06,72.36,70.94,72.13,71.8943,4805860,0,MCD,56
2019-03-14,71.22,71.47,70.85,70.93,70.6982,2577521,0,MCD,57
2019-03-13,71.93,72.33,71.15,71.21,70.9773,3926930,0,MCD,58
2019-03-12,72.3,72.61,71.68,71.78,71.5454,3622793,0,MCD,59
2019-03-11,71.37,72.39,71.3,72.35,72.1136,3159171,0,MCD,60
2019-03-08,71.61,72,70.565,71.15,70.9175,3912538,0,MCD,61
2019-03-07,72.32,72.72,71.66,72.33,72.0936,5296339,0,MCD,62
2019-03-06,71.42,72.0299,71.19,71.46,71.2265,2691272,0,MCD,63
2019-03-05,71.69,71.99,71.34,71.39,71.1567,2112949,0,MCD,64
2019-03-04,72.56,72.88,71.01,71.76,71.5255,3278447,0,MCD,65
2019-03-01,70.91,72.22,70.8,72.13,71.8943,2947859,0,MCD,66
2019-02-28,71.25,71.76,70.88,70.98,70.748,3699295,0,MCD,67
2019-02-27,71.72,71.725,70.96,71.31,71.077,5050381,0,MCD,68
2019-02-26,72.43,72.54,71.76,72.04,71.8046,3629164,0,MCD,69
2019-02-25,72.93,73,72.14,72.25,72.0139,4105293,0,MCD,70
2019-02-22,71.69,72.42,71.485,72.38,72.1435,5585528,0,MCD,71
2019-02-21,72.1,72.415,71.12,71.34,71.1069,4739089,0,MCD,72
2019-02-20,73.27,73.41,71.855,72.25,72.0139,3171388,0.2,MCD,73
2019-02-19,73.21,73.57,72.635,73.18,72.7395,3955742,0,MCD,74
2019-02-15,73.71,74.05,73.08,73.56,73.1172,2875181,0,MCD,75
2019-02-14,73.06,73.64,72.92,73.12,72.6799,1496249,0,MCD,76
2019-02-13,74.16,74.35,73.18,73.58,73.1371,2998419,0,MCD,77
2019-02-12,73.42,73.62,72.875,73.45,73.0079,3404047,0,MCD,78
2019-02-11,73.35,73.87,72.88,72.97,72.5308,3986162,0,MCD,79
2019-02-08,72.46,73.54,72.175,73.16,72.7196,4613228,0,MCD,80
2019-02-07,74.18,74.45,71.42,72.99,72.5506,5880643,0,MCD,81
2019-02-06,70.02,74.69,70.0001,74.5,74.0515,7242131,0,MCD,82
2019-02-05,71.35,71.87,71.11,71.21,70.7814,3978238,0,MCD,83
2019-02-04,70.07,71.509,69.945,71.29,70.8609,3382093,0,MCD,84
2019-02-01,69.95,70.94,69.78,70.14,69.7178,3218566,0,MCD,85
2019-01-31,69.86,70.31,69.41,69.68,69.2606,3504260,0,MCD,86
2019-01-30,68.73,70.1,68.54,69.8,69.3798,3646179,0,MCD,87
2019-01-29,69,69.23,68.38,68.66,68.2467,2902021,0,MCD,88
2019-01-28,69.27,69.38,68.34,68.95,68.535,2771000,0,MCD,89
2019-01-25,70.25,70.32,69.25,70.02,69.5985,4073868,0,MCD,90
2019-01-24,67.12,68.15,66.92,68.12,67.71,3335968,0,MCD,91
2019-01-23,66.96,67.45,66.21,67.06,66.6563,3350206,0,MCD,92
2019-01-22,67.3,67.69,66.27,66.8,66.3979,3698050,0,MCD,93
2019-01-18,67.55,68.03,66.97,67.82,67.4118,3904860,0,MCD,94
2019-01-17,65.49,66.74,65.2,66.55,66.1494,2367809,0,MCD,95
2019-01-16,65.9,66.08,65.45,65.79,65.394,3496857,0,MCD,96
2019-01-15,64.84,66.25,64.65,65.99,65.5928,3551099,0,MCD,97
2019-01-14,64.46,65.02,64.34,64.63,64.241,4407461,0,MCD,98
2019-01-11,64.78,65.19,64.5814,64.92,64.5292,3320566,0,MCD,99
2019-01-10,63.64,64.85,63.5,64.81,64.4199,3313984,0,MCD,100
2019-06-04,61.03,61.54,58.87,59.96,59.96,3733516,0,MSFT,1
2019-06-03,61.77,62.1,60.13,60.54,60.54,7304564,0,MSFT,2
2019-05-31,61.73,62.33,61.73,61.93,61.93,5698594,0,MSFT,3
2019-05-30,61.94,62.9,61.75,62.36,62.36,5059753,0,MSFT,4
2019-05-29,61.83,62.17,61.545,61.88,61.88,4540544,0,MSFT,5
2019-05-28,62.14,62.66,61.88,62.07,62.07,6931011,0,MSFT,6
2019-05-24,61.5,62.19,61.22,61.87,61.87,6435123,0,MSFT,7
2019-05-23,60.96,61.7062,60.84,61.08,61.08,9080866,0,MSFT,8
2019-05-22,60.61,62.19,60.61,61.5,61.5,9350162,0,MSFT,9
2019-05-21,60.18,61.15,60.0205,61,61,9828682,0.2,MSFT,10
2019-05-20,58.83,60.115,58.71,59.99,59.794,10899414,0,MSFT,11
2019-05-17,58.01,59.5,57.81,59.44,59.2458,8199187,0,MSFT,12
2019-05-16,58.46,58.985,58.23,58.64,58.4484,6956521,0,MSFT,13
2019-05-15,57.55,58.765,57.43,58.6,58.4085,7812108,0,MSFT,14
2019-05-14,57.12,58.3,56.97,57.75,57.5613,7946793,0,MSFT,15
2019-05-13,58.02,58.17,56.73,56.88,56.6941,12267713,0,MSFT,16
2019-05-10,58.56,59.32,58.28,59.13,58.9368,12089651,0,MSFT,17
2019-05-09,58.27,59.275,58.005,59.1,58.9069,9168242,0,MSFT,18
2019-05-08,58.48,59.11,58.07,58.98,58.7873,8371150,0,MSFT,19
2019-05-07,59,59.1,57.47,58.51,58.3188,10533169,0,MSFT,20
2019-05-06,58.56,60.19,58.02,59.6,59.4052,10181715,0,MSFT,21
2019-05-03,60.09,61.5,57.7,59.25,59.0564,40551003,0,MSFT,22
2019-05-02,72.19,72.97,65,66.61,66.3923,12472507,0,MSFT,23
2019-05-01,73.35,73.38,72.15,72.18,71.9441,3151938,0,MSFT,24
2019-04-30,72.43,73.05,72.29,72.96,72.7216,3057203,0,MSFT,25
2019-04-29,71.15,72.855,71.15,72.4,72.1634,3450920,0,MSFT,26
2019-04-26,73.07,73.43,72.64,73.37,73.1302,2216254,0,MSFT,27
2019-04-25,72.72,73.11,72.3,72.93,72.6917,2459724,0,MSFT,28
2019-04-24,72.98,73.5,72.09,72.67,72.4325,3045795,0,MSFT,29
2019-04-23,71.77,73.05,71.545,72.85,72.6119,6282901,0,MSFT,30
2019-04-22,70.95,71.54,70.37,71.48,71.2464,2046252,0,MSFT,31
2019-04-18,72.27,72.27,70.555,71.34,71.1069,5469565,0,MSFT,32
2019-04-17,72.17,72.43,71.75,72.15,71.9142,3025446,0,MSFT,33
2019-04-16,73,73.174,71.58,71.9,71.665,4399497,0,MSFT,34
2019-04-15,74.44,74.582,73.76,74.32,74.0771,1690423,0,MSFT,35
2019-04-12,74.41,74.5,73.5542,74.29,74.0472,2499775,0,MSFT,36
2019-04-11,74.67,74.78,74.07,74.19,73.9475,2018576,0,MSFT,37
2019-04-10,74.45,74.765,74.31,74.6,74.3562,1554248,0,MSFT,38
2019-04-09,73.92,74.52,73.72,74.37,74.127,2036042,0,MSFT,39
2019-04-08,74.26,74.45,73.56,74.41,74.1668,2428986,0,MSFT,40
2019-04-05,73.85,74.42,73.13,74.2,73.9575,2572828,0,MSFT,41
2019-04-04,74.3,74.4,73.315,73.79,73.5489,2221753,0,MSFT,42
2019-04-03,73.9,74.845,73.82,74.18,73.9376,3485077,0,MSFT,43
2019-04-02,73.86,74.18,73.41,73.57,73.3296,3069299,0,MSFT,44
2019-04-01,73,73.98,72.65,73.85,73.6087,3561871,0,MSFT,45
2019-03-29,72.02,72.85,71.97,72.45,72.2132,4475282,0,MSFT,46
2019-03-28,71.89,71.89,71.035,71.58,71.3461,2495830,0,MSFT,47
2019-03-27,71.13,71.47,70.32,71.03,70.7979,2040349,0,MSFT,48
2019-03-26,71.23,71.7275,70.67,71.09,70.8577,2295453,0,MSFT,49
2019-03-25,70.74,70.885,70.005,70.75,70.5188,1983705,0,MSFT,50
2019-03-22,71.96,72.06,70.64,70.89,70.6583,2711811,0,MSFT,51
2019-03-21,71.49,72.64,71.41,72.2,71.9641,4141701,0,MSFT,52
2019-03-20,72.17,72.43,71.32,71.71,71.4757,2161278,0,MSFT,53
2019-03-19,72.31,72.44,71.8,72.02,71.7846,2537279,0,MSFT,54
2019-03-18,72.1,72.32,71.22,71.88,71.6451,2376890,0,MSFT,55
2019-03-15,71.06,72.36,70.94,72.13,71.8943,4805860,0,MSFT,56
2019-03-14,71.22,71.47,70.85,70.93,70.6982,2577521,0,MSFT,57
2019-03-13,71.93,72.33,71.15,71.21,70.9773,3926930,0,MSFT,58
2019-03-12,72.3,72.61,71.68,71.78,71.5454,3622793,0,MSFT,59
2019-03-11,71.37,72.39,71.3,72.35,72.1136,3159171,0,MSFT,60
2019-03-08,71.61,72,70.565,71.15,70.9175,3912538,0,MSFT,61
2019-03-07,72.32,72.72,71.66,72.33,72.0936,5296339,0,MSFT,62
2019-03-06,71.42,72.0299,71.19,71.46,71.2265,2691272,0,MSFT,63
2019-03-05,71.69,71.99,71.34,71.39,71.1567,2112949,0,MSFT,64
2019-03-04,72.56,72.88,71.01,71.76,71.5255,3278447,0,MSFT,65
2019-03-01,70.91,72.22,70.8,72.13,71.8943,2947859,0,MSFT,66
2019-02-28,71.25,71.76,70.88,70.98,70.748,3699295,0,MSFT,67
2019-02-27,71.72,71.725,70.96,71.31,71.077,5050381,0,MSFT,68
2019-02-26,72.43,72.54,71.76,72.04,71.8046,3629164,0,MSFT,69
2019-02-25,72.93,73,72.14,72.25,72.0139,4105293,0,MSFT,70
2019-02-22,71.69,72.42,71.485,72.38,72.1435,5585528,0,MSFT,71
2019-02-21,72.1,72.415,71.12,71.34,71.1069,4739089,0,MSFT,72
2019-02-20,73.27,73.41,71.855,72.25,72.0139,3171388,0.2,MSFT,73
2019-02-19,73.21,73.57,72.635,73.18,72.7395,3955742,0,MSFT,74
2019-02-15,73.71,74.05,73.08,73.56,73.1172,2875181,0,MSFT,75
2019-02-14,73.06,73.64,72.92,73.12,72.6799,1496249,0,MSFT,76
2019-02-13,74.16,74.35,73.18,73.58,73.1371,2998419,0,MSFT,77
2019-02-12,73.42,73.62,72.875,73.45,73.0079,3404047,0,MSFT,78
2019-02-11,73.35,73.87,72.88,72.97,72.5308,3986162,0,MSFT,79
2019-02-08,72.46,73.54,72.175,73.16,72.7196,4613228,0,MSFT,80
2019-02-07,74.18,74.45,71.42,72.99,72.5506,5880643,0,MSFT,81
2019-02-06,70.02,74.69,70.0001,74.5,74.0515,7242131,0,MSFT,82
2019-02-05,71.35,71.87,71.11,71.21,70.7814,3978238,0,MSFT,83
2019-02-04,70.07,71.509,69.945,71.29,70.8609,3382093,0,MSFT,84
2019-02-01,69.95,70.94,69.78,70.14,69.7178,3218566,0,MSFT,85
2019-01-31,69.86,70.31,69.41,69.68,69.2606,3504260,0,MSFT,86
2019-01-30,68.73,70.1,68.54,69.8,69.3798,3646179,0,MSFT,87
2019-01-29,69,69.23,68.38,68.66,68.2467,2902021,0,MSFT,88
2019-01-28,69.27,69.38,68.34,68.95,68.535,2771000,0,MSFT,89
2019-01-25,70.25,70.32,69.25,70.02,69.5985,4073868,0,MSFT,90
2019-01-24,67.12,68.15,66.92,68.12,67.71,3335968,0,MSFT,91
2019-01-23,66.96,67.45,66.21,67.06,66.6563,3350206,0,MSFT,92
2019-01-22,67.3,67.69,66.27,66.8,66.3979,3698050,0,MSFT,93
2019-01-18,67.55,68.03,66.97,67.82,67.4118,3904860,0,MSFT,94
2019-01-17,65.49,66.74,65.2,66.55,66.1494,2367809,0,MSFT,95
2019-01-16,65.9,66.08,65.45,65.79,65.394,3496857,0,MSFT,96
2019-01-15,64.84,66.25,64.65,65.99,65.5928,3551099,0,MSFT,97
2019-01-14,64.46,65.02,64.34,64.63,64.241,4407461,0,MSFT,98
2019-01-11,64.78,65.19,64.5814,64.92,64.5292,3320566,0,MSFT,99
2019-01-10,63.64,64.85,63.5,64.81,64.4199,3313984,0,MSFT,100
2019-06-04,61.03,61.54,58.87,59.96,59.96,3733516,0,TSLA,1
2019-06-03,61.77,62.1,60.13,60.54,60.54,7304564,0,TSLA,2
2019-05-31,61.73,62.33,61.73,61.93,61.93,5698594,0,TSLA,3
2019-05-30,61.94,62.9,61.75,62.36,62.36,5059753,0,TSLA,4
2019-05-29,61.83,62.17,61.545,61.88,61.88,4540544,0,TSLA,5
2019-05-28,62.14,62.66,61.88,62.07,62.07,6931011,0,TSLA,6
2019-05-24,61.5,62.19,61.22,61.87,61.87,6435123,0,TSLA,7
2019-05-23,60.96,61.7062,60.84,61.08,61.08,9080866,0,TSLA,8
2019-05-22,60.61,62.19,60.61,61.5,61.5,9350162,0,TSLA,9
2019-05-21,60.18,61.15,60.0205,61,61,9828682,0.2,TSLA,10
2019-05-20,58.83,60.115,58.71,59.99,59.794,10899414,0,TSLA,11
2019-05-17,58.01,59.5,57.81,59.44,59.2458,8199187,0,TSLA,12
2019-05-16,58.46,58.985,58.23,58.64,58.4484,6956521,0,TSLA,13
2019-05-15,57.55,58.765,57.43,58.6,58.4085,7812108,0,TSLA,14
2019-05-14,57.12,58.3,56.97,57.75,57.5613,7946793,0,TSLA,15
2019-05-13,58.02,58.17,56.73,56.88,56.6941,12267713,0,TSLA,16
2019-05-10,58.56,59.32,58.28,59.13,58.9368,12089651,0,TSLA,17
2019-05-09,58.27,59.275,58.005,59.1,58.9069,9168242,0,TSLA,18
2019-05-08,58.48,59.11,58.07,58.98,58.7873,8371150,0,TSLA,19
2019-05-07,59,59.1,57.47,58.51,58.3188,10533169,0,TSLA,20
2019-05-06,58.56,60.19,58.02,59.6,59.4052,10181715,0,TSLA,21
2019-05-03,60.09,61.5,57.7,59.25,59.0564,40551003,0,TSLA,22
2019-05-02,72.19,72.97,65,66.61,66.3923,12472507,0,TSLA,23
2019-05-01,73.35,73.38,72.15,72.18,71.9441,3151938,0,TSLA,24
2019-04-30,72.43,73.05,72.29,72.96,72.7216,3057203,0,TSLA,25
2019-04-29,71.15,72.855,71.15,72.4,72.1634,3450920,0,TSLA,26
2019-04-26,73.07,73.43,72.64,73.37,73.1302,2216254,0,TSLA,27
2019-04-25,72.72,73.11,72.3,72.93,72.6917,2459724,0,TSLA,28
2019-04-24,72.98,73.5,72.09,72.67,72.4325,3045795,0,TSLA,29
2019-04-23,71.77,73.05,71.545,72.85,72.6119,6282901,0,TSLA,30
2019-04-22,70.95,71.54,70.37,71.48,71.2464,2046252,0,TSLA,31
2019-04-18,72.27,72.27,70.555,71.34,71.1069,5469565,0,TSLA,32
2019-04-17,72.17,72.43,71.75,72.15,71.9142,3025446,0,TSLA,33
2019-04-16,73,73.174,71.58,71.9,71.665,4399497,0,TSLA,34
2019-04-15,74.44,74.582,73.76,74.32,74.0771,1690423,0,TSLA,35
2019-04-12,74.41,74.5,73.5542,74.29,74.0472,2499775,0,TSLA,36
2019-04-11,74.67,74.78,74.07,74.19,73.9475,2018576,0,TSLA,37
2019-04-10,74.45,74.765,74.31,74.6,74.3562,1554248,0,TSLA,38
2019-04-09,73.92,74.52,73.72,74.37,74.127,2036042,0,TSLA,39
2019-04-08,74.26,74.45,73.56,74.41,74.1668,2428986,0,TSLA,40
2019-04-05,73.85,74.42,73.13,74.2,73.9575,2572828,0,TSLA,41
2019-04-04,74.3,74.4,73.315,73.79,73.5489,2221753,0,TSLA,42
2019-04-03,73.9,74.845,73.82,74.18,73.9376,3485077,0,TSLA,43
2019-04-02,73.86,74.18,73.41,73.57,73.3296,3069299,0,TSLA,44
2019-04-01,73,73.98,72.65,73.85,73.6087,3561871,0,TSLA,45
2019-03-29,72.02,72.85,71.97,72.45,72.2132,4475282,0,TSLA,46
2019-03-28,71.89,71.89,71.035,71.58,71.3461,2495830,0,TSLA,47
2019-03-27,71.13,71.47,70.32,71.03,70.7979,2040349,0,TSLA,48
2019-03-26,71.23,71.7275,70.67,71.09,70.8577,2295453,0,TSLA,49
2019-03-25,70.74,70.885,70.005,70.75,70.5188,1983705,0,TSLA,50
2019-03-22,71.96,72.06,70.64,70.89,70.6583,2711811,0,TSLA,51
2019-03-21,71.49,72.64,71.41,72.2,71.9641,4141701,0,TSLA,52
2019-03-20,72.17,72.43,71.32,71.71,71.4757,2161278,0,TSLA,53
2019-03-19,72.31,72.44,71.8,72.02,71.7846,2537279,0,TSLA,54
2019-03-18,72.1,72.32,71.22,71.88,71.6451,2376890,0,TSLA,55
2019-03-15,71.06,72.36,70.94,72.13,71.8943,4805860,0,TSLA,56
2019-03-14,71.22,71.47,70.85,70.93,70.6982,2577521,0,TSLA,57
2019-03-13,71.93,72.33,71.15,71.21,70.9773,3926930,0,TSLA,58
2019-03-12,72.3,72.61,71.68,71.78,71.5454,3622793,0,TSLA,59
2019-03-11,71.37,72.39,71.3,72.35,72.1136,3159171,0,TSLA,60
2019-03-08,71.61,72,70.565,71.15,70.9175,3912538,0,TSLA,61
2019-03-07,72.32,72.72,71.66,72.33,72.0936,5296339,0,TSLA,62
2019-03-06,71.42,72.0299,71.19,71.46,71.2265,2691272,0,TSLA,63
2019-03-05,71.69,71.99,71.34,71.39,71.1567,2112949,0,TSLA,64
2019-03-04,72.56,72.88,71.01,71.76,71.5255,3278447,0,TSLA,65
2019-03-01,70.91,72.22,70.8,72.13,71.8943,2947859,0,TSLA,66
2019-02-28,71.25,71.76,70.88,70.98,70.748,3699295,0,TSLA,67
2019-02-27,71.72,71.725,70.96,71.31,71.077,5050381,0,TSLA,68
2019-02-26,72.43,72.54,71.76,72.04,71.8046,3629164,0,TSLA,69
2019-02-25,72.93,73,72.14,72.25,72.0139,4105293,0,TSLA,70
2019-02-22,71.69,72.42,71.485,72.38,72.1435,5585528,0,TSLA,71
2019-02-21,72.1,72.415,71.12,71.34,71.1069,4739089,0,TSLA,72
2019-02-20,73.27,73.41,71.855,72.25,72.0139,3171388,0.2,TSLA,73
2019-02-19,73.21,73.57,72.635,73.18,72.7395,3955742,0,TSLA,74
2019-02-15,73.71,74.05,73.08,73.56,73.1172,2875181,0,TSLA,75
2019-02-14,73.06,73.64,72.92,73.12,72.6799,1496249,0,TSLA,76
2019-02-13,74.16,74.35,73.18,73.58,73.1371,2998419,0,TSLA,77
2019-02-12,73.42,73.62,72.875,73.45,73.0079,3404047,0,TSLA,78
2019-02-11,73.35,73.87,72.88,72.97,72.5308,3986162,0,TSLA,79
2019-02-08,72.46,73.54,72.175,73.16,72.7196,4613228,0,TSLA,80
2019-02-07,74.18,74.45,71.42,72.99,72.5506,5880643,0,TSLA,81
2019-02-06,70.02,74.69,70.0001,74.5,74.0515,7242131,0,TSLA,82
2019-02-05,71.35,71.87,71.11,71.21,70.7814,3978238,0,TSLA,83
2019-02-04,70.07,71.509,69.945,71.29,70.8609,3382093,0,TSLA,84
2019-02-01,69.95,70.94,69.78,70.14,69.7178,3218566,0,TSLA,85
2019-01-31,69.86,70.31,69.41,69.68,69.2606,3504260,0,TSLA,86
2019-01-30,68.73,70.1,68.54,69.8,69.3798,3646179,0,TSLA,87
2019-01-29,69,69.23,68.38,68.66,68.2467,2902021,0,TSLA,88
2019-01-28,69.27,69.38,68.34,68.95,68.535,2771000,0,TSLA,89
2019-01-25,70.25,70.32,69.25,70.02,69.5985,4073868,0,TSLA,90
2019-01-24,67.12,68.15,66.92,68.12,67.71,3335968,0,TSLA,91
2019-01-23,66.96,67.45,66.21,67.06,66.6563,3350206,0,TSLA,92
2019-01-22,67.3,67.69,66.27,66.8,66.3979,3698050,0,TSLA,93
2019-01-18,67.55,68.03,66.97,67.82,67.4118,3904860,0,TSLA,94
2019-01-17,65.49,66.74,65.2,66.55,66.1494,2367809,0,TSLA,95
2019-01-16,65.9,66.08,65.45,65.79,65.394,3496857,0,TSLA,96
2019-01-15,64.84,66.25,64.65,65.99,65.5928,3551099,0,TSLA,97
2019-01-14,64.46,65.02,64.34,64.63,64.241,4407461,0,TSLA,98
2019-01-11,64.78,65.19,64.5814,64.92,64.5292,3320566,0,TSLA,99
2019-01-10,63.64,64.85,63.5,64.81,64.4199,3313984,0,TSLA,100
